incident_id,protocol_name,protocol_type,date_range,contracts_touched,attack_path_len,attack_vector,root_cause_label,tx_hashes
INC001,amms_proto_01,AMMs / DEXes,2019-2025,4,4,Oracle manipulation,price-oracle-manipulable,
INC002,amms_proto_02,AMMs / DEXes,2019-2025,4,4,Cross-protocol routing,router-cross-protocol-path,
INC003,amms_proto_03,AMMs / DEXes,2019-2025,4,4,Oracle manipulation,price-oracle-manipulable,
INC004,amms_proto_04,AMMs / DEXes,2019-2025,4,4,Cross-protocol routing,router-cross-protocol-path,
INC005,amms_proto_05,AMMs / DEXes,2019-2025,4,4,Governance abuse,governance-parameter-without-delay,
INC006,amms_proto_06,AMMs / DEXes,2019-2025,4,4,Governance abuse,governance-parameter-without-delay,
INC007,amms_proto_07,AMMs / DEXes,2019-2025,4,4,Liquidity manipulation,thin-liquidity-price-impact,
INC008,amms_proto_08,AMMs / DEXes,2019-2025,4,4,Liquidation cascade,liquidation-threshold-cascade,
INC009,amms_proto_09,AMMs / DEXes,2019-2025,4,4,Liquidation cascade,liquidation-threshold-cascade,
INC010,amms_proto_10,AMMs / DEXes,2019-2025,4,4,Governance abuse,governance-parameter-without-delay,
INC011,amms_proto_01,AMMs / DEXes,2019-2025,4,4,Oracle manipulation,price-oracle-manipulable,
INC012,amms_proto_02,AMMs / DEXes,2019-2025,4,4,Liquidity manipulation,thin-liquidity-price-impact,
INC013,amms_proto_03,AMMs / DEXes,2019-2025,4,4,Oracle manipulation,price-oracle-manipulable,
INC014,amms_proto_04,AMMs / DEXes,2019-2025,4,4,Liquidity manipulation,thin-liquidity-price-impact,
INC015,amms_proto_05,AMMs / DEXes,2019-2025,4,4,Governance abuse,governance-parameter-without-delay,
INC016,amms_proto_06,AMMs / DEXes,2019-2025,4,4,Liquidity manipulation,thin-liquidity-price-impact,
INC017,amms_proto_07,AMMs / DEXes,2019-2025,4,4,Oracle manipulation,price-oracle-manipulable,
INC018,amms_proto_08,AMMs / DEXes,2019-2025,4,4,Cross-protocol routing,router-cross-protocol-path,
INC019,lending_proto_01,Lending / borrowing,2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC020,lending_proto_02,Lending / borrowing,2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC021,lending_proto_03,Lending / borrowing,2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC022,lending_proto_04,Lending / borrowing,2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC023,lending_proto_05,Lending / borrowing,2019-2025,5,5,Liquidity manipulation,thin-liquidity-price-impact,
INC024,lending_proto_06,Lending / borrowing,2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC025,lending_proto_07,Lending / borrowing,2019-2025,5,5,Governance abuse,governance-parameter-without-delay,
INC026,lending_proto_08,Lending / borrowing,2019-2025,5,5,Liquidity manipulation,thin-liquidity-price-impact,
INC027,lending_proto_01,Lending / borrowing,2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC028,lending_proto_02,Lending / borrowing,2019-2025,5,5,Liquidity manipulation,thin-liquidity-price-impact,
INC029,lending_proto_03,Lending / borrowing,2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC030,lending_proto_04,Lending / borrowing,2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC031,lending_proto_05,Lending / borrowing,2019-2025,5,5,Oracle manipulation,price-oracle-manipulable,
INC032,lending_proto_06,Lending / borrowing,2019-2025,5,5,Oracle manipulation,price-oracle-manipulable,
INC033,lending_proto_07,Lending / borrowing,2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC034,lending_proto_08,Lending / borrowing,2019-2025,5,5,Governance abuse,governance-parameter-without-delay,
INC035,stablecoins_proto_01,Stablecoins,2019-2025,6,6,Governance abuse,governance-parameter-without-delay,
INC036,stablecoins_proto_02,Stablecoins,2019-2025,6,6,Liquidity manipulation,thin-liquidity-price-impact,
INC037,stablecoins_proto_03,Stablecoins,2019-2025,6,6,Cross-protocol routing,router-cross-protocol-path,
INC038,stablecoins_proto_04,Stablecoins,2019-2025,6,6,Liquidation cascade,liquidation-threshold-cascade,
INC039,stablecoins_proto_01,Stablecoins,2019-2025,6,6,Cross-protocol routing,router-cross-protocol-path,
INC040,stablecoins_proto_02,Stablecoins,2019-2025,6,6,Liquidity manipulation,thin-liquidity-price-impact,
INC041,stablecoins_proto_03,Stablecoins,2019-2025,6,6,Oracle manipulation,price-oracle-manipulable,
INC042,yield_proto_01,Yield aggregators,2019-2025,5,5,Governance abuse,governance-parameter-without-delay,
INC043,yield_proto_02,Yield aggregators,2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC044,yield_proto_03,Yield aggregators,2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC045,yield_proto_04,Yield aggregators,2019-2025,5,5,Governance abuse,governance-parameter-without-delay,
INC046,yield_proto_05,Yield aggregators,2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC047,yield_proto_06,Yield aggregators,2019-2025,5,5,Liquidity manipulation,thin-liquidity-price-impact,
INC048,yield_proto_01,Yield aggregators,2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC049,yield_proto_02,Yield aggregators,2019-2025,5,5,Liquidity manipulation,thin-liquidity-price-impact,
INC050,yield_proto_03,Yield aggregators,2019-2025,5,5,Liquidity manipulation,thin-liquidity-price-impact,
INC051,yield_proto_04,Yield aggregators,2019-2025,5,5,Oracle manipulation,price-oracle-manipulable,
INC052,yield_proto_05,Yield aggregators,2019-2025,5,5,Oracle manipulation,price-oracle-manipulable,
INC053,liquid_proto_01,Liquid staking,2019-2025,4,4,Oracle manipulation,price-oracle-manipulable,
INC054,liquid_proto_02,Liquid staking,2019-2025,4,4,Governance abuse,governance-parameter-without-delay,
INC055,liquid_proto_03,Liquid staking,2019-2025,4,4,Cross-protocol routing,router-cross-protocol-path,
INC056,liquid_proto_01,Liquid staking,2019-2025,4,4,Governance abuse,governance-parameter-without-delay,
INC057,liquid_proto_02,Liquid staking,2019-2025,4,4,Liquidity manipulation,thin-liquidity-price-impact,
INC058,other_proto_01,"Other DeFi (derivatives, options)",2019-2025,5,5,Oracle manipulation,price-oracle-manipulable,
INC059,other_proto_02,"Other DeFi (derivatives, options)",2019-2025,5,5,Governance abuse,governance-parameter-without-delay,
INC060,other_proto_03,"Other DeFi (derivatives, options)",2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC061,other_proto_04,"Other DeFi (derivatives, options)",2019-2025,5,5,Oracle manipulation,price-oracle-manipulable,
INC062,other_proto_05,"Other DeFi (derivatives, options)",2019-2025,5,5,Oracle manipulation,price-oracle-manipulable,
INC063,other_proto_01,"Other DeFi (derivatives, options)",2019-2025,5,5,Cross-protocol routing,router-cross-protocol-path,
INC064,other_proto_02,"Other DeFi (derivatives, options)",2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
INC065,other_proto_03,"Other DeFi (derivatives, options)",2019-2025,5,5,Liquidity manipulation,thin-liquidity-price-impact,
INC066,other_proto_04,"Other DeFi (derivatives, options)",2019-2025,5,5,Liquidation cascade,liquidation-threshold-cascade,
